bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
2,Apartment,Reputed Builder kurla kajrolkarhousing social,1100,1.6,Cr,Kurla East,Ready to move,Resale,16000000,13333.33333
2,Apartment,Paradise Sai Solitaire,1245,1.25,Cr,Kharghar,Ready to move,Resale,12500000,10416.66667
1,Apartment,Runwal Gardens,442,44.2,L,Dombivali,Under Construction,Unknown,4420000,3683.333333
1,Apartment,Abhigna Avirahi Heights,650,82,L,Malad West,Ready to move,Resale,8200000,6833.333333
3,Apartment,Hiranandani Meadows,1650,2.4,Cr,Thane West,Ready to move,Unknown,24000000,20000
3,Apartment,Suraj Palette,1466,7.7,Cr,Dadar West,Under Construction,New,77000000,64166.66667
2,Apartment,SD Epsilon,906,2.16,Cr,Kandivali East,Under Construction,Unknown,21600000,18000
1,Apartment,RNA NG Ocean Pearl,721,59.99,L,Mira Road East,Ready to move,Resale,5999000,4999.166667
2,Apartment,Hiranandani Estate Rodas Enclave,1000,1.85,Cr,Thane West,Ready to move,Resale,18500000,15416.66667
2,Apartment,Tridhaatu Morya,692,1.81,Cr,Chembur,Under Construction,New,18100000,15083.33333
2,Apartment,Innovative R K Residency,1010,1.3,Cr,Nerul,Ready to move,Resale,13000000,10833.33333
1,Apartment,Vaidehi Raghav Paradise,412,1.07,Cr,Borivali East,Under Construction,New,10700000,8916.666667
2,Apartment,SHREE KRISHNA Eastern Winds,999,1.39,Cr,Kurla,Under Construction,New,13900000,11583.33333
5,Apartment,Parekh Parvati Enclave,2008,4,Cr,Girgaon,Ready to move,Unknown,40000000,33333.33333
3,Apartment,Lal Gami Jade,1300,1.85,Cr,Vashi,Under Construction,New,18500000,15416.66667
5,Apartment,Sheth Vasant Lawns,2960,4.85,Cr,Thane West,Ready to move,Unknown,48500000,40416.66667
3,Apartment,Shelter Shelter Empire,1565,1.5,Cr,Kharghar,Ready to move,Resale,15000000,12500
4,Apartment,Hiranandani Meadows,2650,5.3,Cr,Thane West,Ready to move,Unknown,53000000,44166.66667
1,Apartment,Shapoorji Pallonji Joyville Virar Phase 1,665,39.1,L,Virar,Under Construction,New,3910000,3258.333333
2,Apartment,Kalpataru Sunrise,775,90,L,Thane West,Ready to move,Resale,9000000,7500
1,Apartment,JP North Barcelona,711,58.75,L,Mira Road East,Under Construction,New,5875000,4895.833333
2,Apartment,Sethia Marine View,699,1.19,Cr,Borivali West,Under Construction,New,11900000,9916.666667
3,Apartment,Neelam Senroofs Phase III,1086,2.31,Cr,Nahur East,Under Construction,New,23100000,19250
1,Apartment,Regency Sarvam Phase 11,680,32,L,Titwala,Ready to move,New,3200000,2666.666667
1,Apartment,Lodha Golden Sunrise,450,28,L,Taloja,Ready to move,New,2800000,2333.333333
3,Apartment,Ashish Samriddhi,1341,1.25,Cr,Mira Road East,Ready to move,New,12500000,10416.66667
3,Apartment,Hiranandani Torino,2060,8.5,Cr,Powai,Ready to move,Resale,85000000,70833.33333
1,Apartment,Om Sai Heights,595,24,L,Nala Sopara,Ready to move,New,2400000,2000
1,Apartment,Amar Vinay Heritage,1040,92.6,L,Mira Road East,Under Construction,New,9260000,7716.666667
2,Apartment,Today Aamod,687,79.66,L,Panvel,Under Construction,New,7966000,6638.333333
1,Apartment,Godrej Ascend,550,71.45,L,Thane East,Under Construction,New,7145000,5954.166667
2,Apartment,Dotom Desire,826,2,Cr,Dadar West,Ready to move,Unknown,20000000,16666.66667
2,Apartment,Strawberry Onyx,608,72,L,Mira Road East,Ready to move,New,7200000,6000
1,Apartment,Prescon Midtown Bay,422,1.78,Cr,Mahim,Under Construction,New,17800000,14833.33333
3,Apartment,Neelkanth Greens,1650,2,Cr,Thane West,Ready to move,Unknown,20000000,16666.66667
1,Apartment,Deep Associates Pride,565,24,L,Nala Sopara,Ready to move,Resale,2400000,2000
2,Apartment,Mahavir  Builders Heights,900,36,L,Virar,Ready to move,Resale,3600000,3000
2,Apartment,Reputed Builder Sai Pooja Arcade,1050,76,L,Kamothe,Ready to move,Resale,7600000,6333.333333
3,Apartment,Sugee Marina Bay,2017,12.21,Cr,Mahalaxmi,Under Construction,New,122100000,101750
1,Apartment,Harshal Devchhaya,755,1.06,Cr,Dahisar,Ready to move,New,10600000,8833.333333
3,Apartment,Regency Antilia Phase V Avana,1357,84,L,Ulhasnagar,Ready to move,Unknown,8400000,7000
4,Apartment,Disha Sat Anupa CHS Phase 1,1350,6.17,Cr,Juhu,Ready to move,New,61700000,51416.66667
3,Apartment,Kamala Garden Grove Phase 2,1600,3.5,Cr,Borivali West,Ready to move,Unknown,35000000,29166.66667
2,Apartment,S M Hatkesh Heights,890,82,L,Mira Road East,Under Construction,New,8200000,6833.333333
2,Apartment,Vishesh Balaji Symphony ,762,1,Cr,Panvel,Ready to move,New,10000000,8333.333333
2,Apartment,Simran Building No 1 Uptown Avenue,409,79,L,Panvel,Ready to move,New,7900000,6583.333333
3,Apartment,T Bhimjyani The Verraton,2027,1.85,Cr,Thane West,Ready to move,Unknown,18500000,15416.66667
2,Apartment,Runwal Gardens,632,66.9,L,Dombivali,Under Construction,Unknown,6690000,5575
2,Apartment,Proviso SaiProviso County,921,51.99,L,Panvel,Ready to move,New,5199000,4332.5
2,Apartment,Lodha Palava Lakeside A To H,1200,53.25,L,Dombivali,Ready to move,Resale,5325000,4437.5
1,Apartment,Neelkanth Valley II,294,22.54,L,Khopoli,Under Construction,New,2254000,1878.333333
2,Apartment,Runwal Gardens Phase 3 Bldg No 27 28,1075,64.51,L,Dombivali,Ready to move,New,6451000,5375.833333
3,Apartment,Bombay Island City Center,2738,6.67,Cr,Dadar East,Ready to move,New,66700000,55583.33333
3,Apartment,Rustomjee Riviera,1450,3.2,Cr,Malad West,Ready to move,Resale,32000000,26666.66667
1,Apartment,Pride Heritage,670,45,L,Ulwe,Ready to move,New,4500000,3750
2,Apartment,Lodha Codename Premier,950,56.13,L,Dombivali,Ready to move,Resale,5613000,4677.5
1,Apartment,Tata Serein Phase 1,550,95,L,Thane West,Ready to move,Resale,9500000,7916.666667
1,Apartment,Evershine City,500,26,L,Vasai,Ready to move,Resale,2600000,2166.666667
3,Apartment,Shree Balaji Om Harmony,1700,2,Cr,Kharghar,Ready to move,Resale,20000000,16666.66667
2,Apartment,Adhiraj Capital City,1103,77,L,Kharghar,Ready to move,Resale,7700000,6416.666667
1,Apartment,Nandkumar Janki Legacy,775,61,L,Mira Road East,Under Construction,New,6100000,5083.333333
2,Apartment,Ajmera Bhakti Park,965,1.93,Cr,Wadala,Ready to move,Resale,19300000,16083.33333
2,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,995,1.1,Cr,Mira Road East,Ready to move,Resale,11000000,9166.666667
2,Apartment,The Baya Park,770,3.3,Cr,Dadar West,Ready to move,Resale,33000000,27500
1,Apartment,Kashi Rambha Tower,600,1,Cr,Ghatkopar West,Ready to move,Unknown,10000000,8333.333333
2,Apartment,Rustomjee Azziano Wing F,1150,1.35,Cr,Thane West,Ready to move,Resale,13500000,11250
2,Apartment,Bachraj Landmark,538,53,L,Virar,Ready to move,New,5300000,4416.666667
